Message,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",,160,,,,,
LOL what happens in Vegas stays in vegas,,40,,,,,
"No plans yet, you ?",,19,,,,,
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",,153,,,,,
Babe ? I lost you ... Will you try rebooting ?,,46,,,,,
"Tick, tick, tick ...",,20,,,,,
You know there is. I shall speak to you in  <#>  minutes then,,61,,,,,
"Come to me right now, Ahmad",,27,,,,,
I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,,136,,,,,
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",,135,,,,,
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",,147,,,,,
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",,127,,,,,
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,,124,,,,,
I miss you,,10,,,,,
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,157,,,,,
I love you both too :-),,23,,,,,
"Lol you forgot it eh ? Yes, I'll bring it in babe",,49,,,,,
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,,146,,,,,
Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,,147,,,,,
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,,139,,,,,
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",,158,,,,,
"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,95,,,,,
Do you always celebrate NY's with your family ?,,47,,,,,
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,,131,,,,,
"Lol, oh you got a friend for the dog ?",,38,,,,,
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,121,,,,,
Are you at work right now ?,,27,,,,,
"I'm not sure, I was just checking out what was happening around the area",,72,,,,,
Are you staying in town ?,,25,,,,,
Are you plans with your family set in stone ?,,45,,,,,
I can't make it tonight,,23,,,,,
Did either of you have any idea's? Do you know of anyplaces doing something?,,76,,,,,
Do you work all this week ?,,27,,,,,
Just curious because my cuz asked what I was up to,,50,,,,,
LOL ... Have you made plans for new years?,,42,,,,,
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,,135,,,,,
"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",,83,,,,,
Give me a sec to think think about it,,37,,,,,
Lol .. Hmmm ... When?,,21,,,,,
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,,126,,,,,
"Well, i'm glad you didn't find it totally disagreeable ... Lol",,62,,,,,
Hmm .. Bits and pieces lol ... *sighs* ...,,42,,,,,
"Well, I meant as opposed to my drunken night of before",,54,,,,,
Much better now thanks lol,,26,,,,,
"Hey, how's it going ?",,21,,,,,
"Ok, be careful ! Don't text and drive !",,39,,,,,
"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",,96,,,,,
"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",,135,,,,,
And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,,145,,,,,
Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,,111,,,,,
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,115,,,,,
Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,,110,,,,,
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,,141,,,,,
Babe ? I lost you ... :-(,,25,,,,,
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",,150,,,,,
"Just making dinner, you ?",,25,,,,,
I'm putting it on now. It should be ready for  <TIME>,,53,,,,,
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",,105,,,,,
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,,158,,,,,
"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",,145,,,,,
"Ok babe, i'll see you at  <TIME>  i love ya",,43,,,,,
Ignoring me ?,,13,,,,,
"Ignoring me, eh ?",,17,,,,,
Honey ? Sweetheart ? Darling ? Sexy buns ? Loverboy ? Snuggle bunny ? Sugar plum ? Nom nom nom ... Yummy ... Delicious ... *grins*,,130,,,,,
"I'm home, my love ... If your still awake ... *loving kiss*",,59,,,,,
LOL ... No just was busy,,24,,,,,
"Merry Christmas to you too babe, i love ya *kisses*",,51,,,,,
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",,62,,,,,
Geeeee ... I love you so much I can barely stand it,,51,,,,,
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,134,,,,,
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,,152,,,,,
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,,183,,,,,
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,,133,,,,,
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",,157,,,,,
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",,297,,,,,
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",,144,,,,,
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,,118,,,,,
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",,160,,,,,
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",,458,,,,,
Fuck babe ... What happened to you ? How come you never came back?,,66,,,,,
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",,153,,,,,
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",,155,,,,,
"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",,153,,,,,
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",,159,,,,,
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",,281,,,,,
Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,,171,,,,,
"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",,175,,,,,
Mmm so yummy babe ... Nice jolt to the suzy,,43,,,,,
MMM ... Fuck .... Merry Christmas to me,,39,,,,,
"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",,157,,,,,
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",,152,,,,,
Just haven't decided where yet eh ?,,35,,,,,
Going to take your babe out ?,,29,,,,,
No plans yet. What are you doing ?,,34,,,,,
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",,156,,,,,
"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",,281,,,,,
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",,94,,,,,
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,,113,,,,,
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",,146,,,,,
"I wonder if your phone battery went dead ? I had to tell you, I love you babe",,77,,,,,
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",,159,,,,,
I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,,153,,,,,
I sent lanre fakeye's Eckankar details to the mail box,,54,,,,,
"Better than bb. If he wont use it, his wife will or them doctor",,63,,,,,
So i'm doing a list of buyers.,,30,,,,,
Does daddy have a bb now.,,25,,,,,
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,,131,,,,,
Its worse if if uses half way then stops. Its better for him to complete it.,,76,,,,,
He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,,140,,,,,
No comment,,10,,,,,
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,,113,,,,,
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  <#> g wifi ipad. And what are you saying about the about the  <#> g?,,196,,,,,
"Did you say bold, then torch later. Or one torch and 2bold?",,59,,,,,
Thanks love. But am i doing torch or bold.,,42,,,,,
Or better still can you catch her and let ask her if she can sell  <#>  for me.,,79,,,,,
Send me yetty's number pls.,,27,,,,,
Do you think i can move  <#>  in a week,,39,,,,,
I want to send something that can sell fast.  <#> k is not easy money.,,70,,,,,
How much is torch in 9ja.,,25,,,,,
Its  <#> k here oh. Should i send home for sale.,,48,,,,,
Y,,1,,,,,
How much is blackberry bold2 in nigeria.,,40,,,,,
"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  <#>  or any bb",,149,,,,,
Studying. But i.ll be free next weekend.,,40,,,,,
No problem. How are you doing?,,30,,,,,
"Hi, can i please get a  <#>  dollar loan from you. I.ll pay you back by mid february. Pls.",,90,,,,,
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,244,,,,,
"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",,207,,,,,
Lol,,3,,,,,
Good morning angel,,18,,,,,
Ok. So wat's happenin,,21,,,,,
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,,110,,,,,
Good. Very good.,,16,,,,,
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,154,,,,,
She's fine. Sends her greetings,,31,,,,,
Compliments to you. Was away from the system. How your side.,,60,,,,,
"I sent you the prices and do you mean the  <#> g,",,49,,,,,
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,112,,,,,
Its just the effect of irritation. Just ignore it,,49,,,,,
If you are not coughing then its nothing,,40,,,,,
R u over scratching it?,,23,,,,,
I know you are. Can you pls open the back?,,42,,,,,
Are you the cutest girl in the world or what,,44,,,,,
"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",,121,,,,,
I.ll give her once i have it. Plus she said grinule greet you whenever we speak,,79,,,,,
Nope. Meanwhile she talk say make i greet you.,,46,,,,,
Lara said she can loan me  <#> .,,32,,,,,
Apart from the one i told you about yesterday?,,46,,,,,
Hey what's up charles sorry about the late reply.,,49,,,,,
"Me, i dont know again oh",,24,,,,,
No problem.,,11,,,,,
Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,,96,,,,,
Pls do. Keep in touch,,21,,,,,
You always make things bigger than they are,,43,,,,,
Thinkin about someone is all good. No drugs for that,,52,,,,,
No,,2,,,,,
Just do what ever is easier for you,,35,,,,,
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",,119,,,,,
How. Its a little difficult but its a simple way to enter this place,,68,,,,,
Bro what's up,,13,,,,,
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,158,,,,,
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,158,,,,,
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,158,,,,,
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,158,,,,,
I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,158,,,,,
F,,1,,,,,
I'm good,,8,,,,,
Glad to see your reply.,,23,,,,,
"The  <#> g that i saw a few days ago, the guy wants sell wifi only for  <#>  and with 3g for  <#> . That's why i blanked him.",,125,,,,,
Okay.,,5,,,,,
Just met a guy that has a brand new  <#> g wifi 3g ipad for  <#> . I think its a good deal in terms of price and tax. Should i approach.,,136,,,,,
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,85,,,,,
The bus leaves at  <#>,,22,,,,,
We'll join the  <#>  bus,,24,,,,,
"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",,126,,,,,
Ok,,2,,,,,
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,,117,,,,,
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ <#>  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",,476,,,,,
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ <#>  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",,476,,,,,
"Sir, I have been late in paying rent for the past few months and had to pay a $ <#>  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",,366,,,,,
<#>,,3,,,,,
We live in the next  <#> mins,,29,,,,,
Nope. I just forgot. Will show next week,,40,,,,,
I'm coming,,10,,,,,
I.ll come see you,,17,,,,,
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,,237,,,,,
Its your right.,,15,,,,,
Can you please send me my aunty's number,,40,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,109,,,,,
"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",,142,,,,,
Hope you are having a great day.,,32,,,,,
Hope you are having a great day.,,32,,,,,
So what did the bank say about the money?,,41,,,,,
Great to hear you are settling well. So what's happenin wit ola?,,64,,,,,
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",,172,,,,,
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,,93,,,,,
Where r u!,,10,,,,,
It will be there.,,17,,,,,
Pls also bring jacket,,21,,,,,
Mail,,4,,,,,
Oh. I forgot.,,13,,,,,
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,,95,,,,,
My exam is for february 4. Wish you a great day.,,48,,,,,
My exam is for february 4. Wish you a great day.,,48,,,,,
Its a great day. Do have yourself a beautiful one.,,50,,,,,
Do have a nice day today. I love you so dearly.,,47,,,,,
Just seeing your missed call my dear brother. Do have a gr8 day.,,64,,,,,
Cos i want it to be your thing,,30,,,,,
You will go to walmart. I.ll stay.,,34,,,,,
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,,114,,,,,
<#> . I guess.,,14,,,,,
We don call like  <#>  times oh. No give us hypertension oh.,,60,,,,,
Ya i am going,,13,,,,,
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,,106,,,,,
Madipakkam,,10,,,,,
In home da,,10,,,,,
I am not having her number sir,,30,,,,,
H A P P Y B I R T H D A Y May God bless u!!:-),,46,,,,,
<#>,,3,,,,,
My birthday is on feb  <#>  da. .,,33,,,,,
Hi da,,5,,,,,
"Life is more strict than teacher... Bcoz Teacher teaches lesson & then conducts exam, But Life first conducts Exam & then teaches Lessons. Happy morning. . .",,157,,,,,
Oh ya ya. I remember da. .,,26,,,,,
Who is this,,11,,,,,
Enjoy ur life. . Good night,,27,,,,,
"TEC CSE B PLACEMENT: The placement season has started and our class ""size ma"" SHIBI CHAKKARAVARTHY is the first person to get placed (in SYNTEL) . . . I sincerly state that syntel is lucky to get a talented person like shibi . . I wish all the best to shibi on behalf of my class members. :) have a great career shibi!!! With love, GHILLI (SARAVANAKUMAR)",,354,,,,,
NETWORK ERROR: MESSAGE SENDING FAILED. . . . PLEASE TRY AGAIN LATER. . . .,,74,,,,,
"TEC CSE B PLACEMENT: The placement season has started and our class ""size ma"" SHIBI CHAKKARAVARTHY is the first person to get placed (in SYNTEL) . . . I sincerly state that syntel is lucky to get a talented person like shibi . . I wish all the best to shibi on behalf of my class members. :) have a great career shibi!!! With love, GHILLI (SARAVANAKUMAR)",,354,,,,,
Kaavalan Rocking in  <#>  Theaters in Malaysia And Kaavalan Tops this week at No 1 In Most Of The Sites :) Vijay's Mass Redefined :) PROUD TO BE A VIJAY FAN,,156,,,,,
N,,1,,,,,
Tamildirtystories.com indianpornvideos.com,,42,,,,,
Kaavalan Rocking in  <#>  Theaters in Malaysia And Kaavalan Tops this week at No 1 In Most Of The Sites :) Vijay's Mass Redefined :) PROUD TO BE A VIJAY FAN,,156,,,,,
n,,1,,,,,
STOP,,4,,,,,
I am on the way to ur home,,26,,,,,
I am on the way,,15,,,,,
I will reach ur home in  <#>  minutes,,37,,,,,
Ok then i will come to ur home after half an hour,,49,,,,,
Meeting u is my work. . . Tel me when shall i do my work tomorrow,,65,,,,,
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,,117,,,,,
At WHAT TIME should i come tomorrow,,35,,,,,
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,,69,,,,,
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",,89,,,,,
No da. . Vijay going to talk in jaya tv,,39,,,,,
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",,89,,,,,
Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,,67,,,,,
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",,89,,,,,
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",,89,,,,,
"""Pokkiri"" Film In Sun Tv @ 6pm And ""Nan Ungal KAVALAN "" on  <#> th @ 6pm in Jaya Tv None Can Live Without Or Opposing Vijay :) Happy Republic Day",,145,,,,,
I am in hospital da. . I will return home in evening,,52,,,,,
"!'!'"""""""""""""""")! !""""""(*)""""(! !""""""""""""""""')! !""""""""""""""""'! !! ! ""REPUBLIC DAY"" ADVANCE WISHES. I AM THE FIRST AND BEST 2 WISH U ""Jai Hind""",,131,,,,,
Ya very nice. . .be ready on thursday,,37,,,,,
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",,151,,,,,
Ya ya,,5,,,,,
I will see in half an hour,,26,,,,,
Still i have not checked it da. . .,,35,,,,,
Now only i reached home. . . I am very tired now. . I will come tomorro,,71,,,,,
Its opening da,,14,,,,,
Ya . . .,,8,,,,,
I went to project centre,,24,,,,,
No i am not having not any movies in my laptop,,46,,,,,
I will come tomorrow di,,23,,,,,
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,71,,,,,
Oh k. . I will come tomorrow,,28,,,,,
Shall i come to get pickle,,26,,,,,
He also knows about lunch menu only da. . I know,,48,,,,,
I am not sure about night menu. . . I know only about noon menu,,63,,,,,
Ya tell da. .,,13,,,,,
Who is this,,11,,,,,
Nothing.,,8,,,,,
I will msg later,,16,,,,,
Oh.busy ah?,,11,,,,,
What doing?,,11,,,,,
Are you free now?can i call now?,,32,,,,,
Hi.,,3,,,,,
PI,,2,,,,,
PI,,2,,,,,
Just now saw your message.it k da:),,35,,,,,
PI,,2,,,,,
K.,,2,,,,,
Wake me up at 2 pm:),,20,,,,,
Oh thanks a lot..i already bought 2 eggs ..,,43,,,,,
K.,,2,,,,,
Hi.there?,,9,,,,,
"Examiner: y r u under tension? Did u forget admit card, ID, or calculator? stud: No mam! By mistake i bring tomorrow exams ? Bits:-> good nit...",,144,,,,,
Reached room?,,13,,,,,
Hi da:)how is the todays class?,,31,,,,,
Its k.,,6,,,,,
"TicketNew Confirmation no is  <#> / <#>  Siruthai (U/A) - Tamil on Sun  <#> / <#>   <TIME>  PM Seats EE <#>  -  <#> ,FF <#>  -  <#>  at Sangam Cinemas.Thank you",,160,,,,,
"SPOT OFFER 4 Tech Support,voice-DAY SHIFT.Walkin on  <#> th Jan, <#>  to 1pm @ Pay4Pay no  <#> /5,nainiappan naicken st,park town,ch-3.Near central stn.cnt- <#> .",,162,,,,,
Who is this?,,12,,,,,
Wake me up at  <#>  am morning:),,32,,,,,
Super msg da:)nalla timing.,,27,,,,,
K,,1,,,,,
Hmmm:),,6,,,,,
This pay is  <DECIMAL>  lakhs:),,31,,,,,
Designation is software developer and may be she get chennai:),,62,,,,,
Sindu got job in birla soft ..,,30,,,,,
My sister going to earn more than me da.,,40,,,,,
One small prestige problem now.,,31,,,,,
Hi,,2,,,,,
I dont understand your message.,,31,,,,,
K.,,2,,,,,
K k:),,5,,,,,
My sister got placed in birla soft da:-),,40,,,,,
Birla soft da:),,15,,,,,
She told to hr that he want posting in chennai:)because i'm working here:),,74,,,,,
S,,1,,,,,
K.,,2,,,,,
<DECIMAL>  lakh da:)bond don know:),,35,,,,,
Birla soft da:),,15,,,,,
Sure da:),,9,,,,,
My sister got placed.,,21,,,,,
My sister got placed.,,21,,,,,
I keep ten rs in my shelf:) buy two egg.,,40,,,,,
I'm in office now . I will call you  <#>  min:),,47,,,,,
I'm in office now . I will call you  <#>  min:),,47,,,,,
I keep ten rs in my shelf:) buy two egg.,,40,,,,,
No da:),,7,,,,,
No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),,102,,,,,
What message da?,,16,,,,,
4w technologies in guindy..he get this job before one month and worked for two day and leave that job:)now he again joined today:),,130,,,,,
Yes :),,6,,,,,
Pandy joined work today.,,24,,,,,
K..,,3,,,,,
K..give back my thanks.,,23,,,,,
Thanks a lot.,,13,,,,,
Hi..i got the money da:),,24,,,,,
Hi.reached room?,,16,,,,,
K.k:),,5,,,,,
K:)k:),,6,,,,,
K da:)how many page you want?,,29,,,,,
Where are you?,,14,,,,,
K.,,2,,,,,
Don know..he is watching film in computer..,,43,,,,,
Captain is in our room:),,24,,,,,
K..k...,,7,,,,,
No..he joined today itself.,,27,,,,,
Pandy joined 4w technologies today.he got job..,,47,,,,,
K..k..good.,,11,,,,,
Work time?,,10,,,,,
K..k.:)congratulation ..,,24,,,,,
Hi:)got job ah?,,15,,,,,
K..pandy get job ah?,,20,,,,,
Hi da:)where are you?,,21,,,,,
K.k:),,5,,,,,
K..k..,,6,,,,,
K.:)do it at evening da:)urgent:),,33,,,,,
Got it?,,7,,,,,
"Poyyarikatur,kolathupalayam,unjalur post,erode dis, <#> .",,57,,,,,
S:),,3,,,,,
Capgemini interview download app  <URL>  send to  <EMAIL>,,57,,,,,
I had it already..sabarish asked me to go..,,43,,,,,
Oh k...i'm watching here:),,26,,,,,
Watching ajith film ah?,,23,,,,,
Buy one egg for me da..please:),,31,,,,,
I'm in office now da:)where are you?,,36,,,,,
"Walk-In Interview Fresher / Experienced - Non-Voice & Voice - from Mon-Fri from  <#>  pm @ String, G.R. Complex, 5th Flr,  <#> , Anna Salai, Nandanam. Ph:  <#>",,159,,,,,
She went to attend another two rounds today..but still did't reach home..,,73,,,,,
My sister cleared two round in birla soft yesterday.,,52,,,,,
Hmmm...,,7,,,,,
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,,114,,,,,
Its going good...no problem..but still need little experience to understand american customer voice...,,102,,,,,
Yes:)from last week itself i'm taking live call.,,48,,,,,
Hmmm.summa only.,,16,,,,,
Yes.i'm in office da:),,22,,,,,
K.no problem:),,14,,,,,
Capgemini interview download app  <URL>  send to  <EMAIL>,,57,,,,,
K.,,2,,,,,
Where are you?when wil you reach here?,,38,,,,,
K..k..,,6,,,,,
Acc no- <#>  name-vivek.T branch-kolathupalayam,,47,,,,,
I don know account details..i will ask my mom and send you.my mom is out of reach now.,,86,,,,,
All day working day:)except saturday and sunday..,,49,,,,,
Hmmm..,,6,,,,,
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,,146,,,,,
Having lunch:)you are not in online?why?,,40,,,,,
No problem da:),,15,,,,,
K.i will send in  <#>  min:),,28,,,,,
K:)i will give my kvb acc details:),,35,,,,,
K:)k:)what are detail you want to transfer?acc no enough?,,57,,,,,
Can you do online transaction?,,30,,,,,
I want  <#>  rs da:)do you have it?,,35,,,,,
Hi.,,3,,,,,
I'm here:),,10,,,,,
Total video converter free download type this in google search:),,64,,,,,
From here after The performance award is calculated every two month.not for current one month period..,,102,,,,,
Free?,,5,,,,,
Hi.,,3,,,,,
